Table 5 
Radial Velocities of HD 126614 A


JD-2440000	Radial Velocity	Uncertainty	Telescope	
	(m s^-1)	(m s^-1)		
11200.13355	-175.78	1.26	K	
11311.92294	-169.56	2.17	K	
11342.85107	-155.44	1.47	K	
11370.81727	-151.70	1.44	K	
11373.83647	-146.70	1.77	K	
11552.15999	-135.05	1.28	K	
11553.16885	-136.56	1.34	K	
11581.17426	-134.75	1.26	K	
11583.06953	-140.19	1.44	K	
11585.12509	-138.05	1.07	K	
11586.03518	-134.02	1.14	K	
11680.01873	-141.32	1.54	K	
11982.14743	-126.57	1.45	K	
12003.94759	-117.29	1.48	K	
12005.13470	-118.83	1.38	K	
12065.93845	-123.18	1.49	K	
12096.76464	-116.69	1.78	K	
12128.75811	-119.29	1.23	K	
12335.07744	-112.03	1.39	K	
12363.08412	-108.95	1.52	K	
12389.99741	-110.09	1.77	K	
12445.84007	-107.11	1.37	K	
12683.05902	-82.87	1.34	K	
12711.99652	-81.84	1.40	K	
12776.95616	-76.98	1.47	K	
12849.80405	-78.59	1.51	K	
13015.15707	-70.77	1.29	K	
13016.16478	-69.55	1.20	K	
13017.15230	-70.34	1.25	K	
13179.83922	-66.55	1.47	K	
13425.13398	-57.71	1.18	K	
13777.11170	-41.41	1.02	K	
13838.01968	-39.62	1.62	K	
14131.15530	-15.75	1.24	K	
14246.94875	-18.96	0.93	K	
14247.94129	-18.73	1.21	K	
14248.90277	-18.55	1.16	K	
14251.83500	-23.10	1.13	K	
14255.78231	-20.33	0.87	K	
14277.75659	-19.17	1.13	K	
14278.76238	-18.63	1.22	K	
14285.77622	-9.74	1.28	K	
14294.83121	-18.26	1.19	K	
14300.80378	-16.35	1.15	K	
14493.17109	-9.46	1.12	K	
14549.01403	-10.28	1.26	K	
14639.85723	-11.05	1.25	K	
14839.12869	-1.44	0.87	K	
14865.17003	-3.63	1.66	K	
14866.08003	-2.67	0.91	K	
14927.91558	-3.71	1.42	K	
14929.09501	-3.22	1.31	K	
14930.03891	-2.54	1.15	K	
14964.02038	-2.01	0.73	K	
14983.79390	1.65	1.23	K	
14984.84861	4.14	1.19	K	
14985.95010	2.85	1.38	K	
14986.93908	7.48	1.23	K	
14987.94064	4.43	1.30	K	
14988.95513	1.50	1.28	K	
15014.82834	3.02	1.24	K	
15015.83799	-1.02	1.25	K	
15016.88768	0.91	1.07	K	
15041.84683	4.80	1.33	K	
15042.87063	8.59	1.45	K	
15043.81939	3.67	1.33	K	
15044.79615	7.78	1.40	K	
15190.15992	19.99	1.34	K	
15197.15781	21.27	1.23	K	
15229.04986	27.36	1.19	K	
